,strata,Region,Population,jan_cases,jan_rate,feb_cases,feb_rate,mar_cases,mar_rate,apr_cases,apr_rate,may_cases,may_rate,jun_cases,jun_rate,jul_cases,jul_rate,aug_cases,aug_rate,sep_cases,sep_rate,oct_cases,oct_rate,nov_cases,nov_rate,dec_cases,dec_rate,total
0,Europe,Albania,2854710,58316,0.02042799443726333,78992,0.027670761653547996,107931,0.03780804354908204,125506,0.0439645358022356,131185,0.045953879728588894,132337,0.0463574233459791,132523,0.046422578825870225,133121,0.04663205719670299,147369,0.05162310707567494,170778,0.05982323948842439,185497,0.06497927985679806,200173,0.07012025739917539,1603728
1,Europe,Andorra,79034,8117,0.10270263430928461,9972,0.12617354556266924,10889,0.13777614697471974,12053,0.15250398562643924,13232,0.16742161601336134,13729,0.17371004883973987,13918,0.17610142470329226,14678,0.1857175392868892,15046,0.1903737631905256,15222,0.1926006528835691,15516,0.1963205708935395,17426,0.2204873851760002,159798
2,Europe,Austria,8922082,358774,0.04021191466296768,410385,0.04599655102923286,454870,0.05098249489300816,540438,0.06057308148479245,613688,0.06878304862026599,640050,0.07173774013733565,646042,0.07240933226123679,654787,0.07338948465167659,683900,0.07665251227235975,739627,0.08289847593868785,827894,0.09279157039803042,1156022,0.12956863655814865,7726477
3,Europe,Belgium,11611420,648289,0.05583201710040633,711417,0.06126873371215579,772294,0.06651158945245285,887920,0.07646954463795126,993434,0.08555663303885314,1063499,0.09159077873335045,1085885,0.0935187083061331,1124715,0.09686282986921496,1187506,0.1022705233296186,1247197,0.10741123824648492,1360650,0.11718205008517477,1786444,0.15385232813902175,12869250
4,Europe,Bosnia and Herzegovina,3270943,112143,0.03428460844472068,122199,0.03735895122599202,130979,0.04004319243716568,171324,0.05237755595251889,198461,0.0606739402062341,204093,0.06239576782597557,205032,0.06268284100334369,205655,0.06287330595488824,214759,0.06565660116975441,235536,0.07200859201765362,254348,0.07775983867649176,275965,0.08436863620063083,2330494
5,Europe,Bulgaria,6885868,202540,0.029413866196679926,219580,0.03188849975050349,249626,0.036251929313777145,346327,0.05029532950675209,404846,0.05879374974948692,418813,0.060822106958774116,421902,0.06127070690289155,425148,0.061742107167898075,457487,0.06643853759613168,504253,0.07323012872160779,608499,0.08836925134202399,697162,0.10124533319546643,4956183
6,Europe,Belarus,9578168,196223,0.02048648551581054,249295,0.026027419857325533,288267,0.03009625640310339,323043,0.033727013349525714,359982,0.03758359636206005,395075,0.041247449407861715,418212,0.04366304704615747,446998,0.04666842343963898,483231,0.05045129715828747,540079,0.05638646137758285,602058,0.06285732302878796,656510,0.06854233502690703,4958973
7,Europe,Croatia,4060136,212007,0.05221672377477011,232520,0.057269017589558574,243064,0.05986597493285939,274054,0.06749872418066784,334229,0.0823196562873756,356397,0.0877795719158176,359975,0.08866082318424802,363758,0.08959256537219443,374803,0.09231291759684897,406307,0.10007226358919996,471474,0.11612271116041432,613914,0.15120527982313892,4242502
8,Europe,Czechia,10510751,732022,0.06964507103250757,987329,0.09393515268319076,1240051,0.11797929567544697,1539617,0.14648020869298492,1632932,0.15535826126981792,1661780,0.15810287961345484,1667435,0.15864090016022642,1673694,0.1592363856778645,1679476,0.15978648909102688,1692412,0.16101722893064443,1765654,0.16798552263296884,2172084,0.20665354930394603,18444486
9,Europe,Denmark,5854241,166567,0.028452364704493718,199644,0.034102456663468415,212380,0.036277973523809494,231957,0.03962204494143647,252740,0.04317212086075718,282896,0.0483232583011188,294980,0.050387402910129594,318807,0.05445744375744012,347862,0.059420512411429594,360999,0.06166452662266552,392262,0.06700475774741764,497665,0.08500931205257864,3558759
10,Europe,Estonia,1328701,28406,0.021378775209772553,44575,0.03354780345615756,66628,0.050145217020232544,107253,0.08072019212749897,122450,0.09215767881562519,129674,0.09759456792762254,131085,0.09865650737073277,133685,0.10061330577759782,142363,0.10714449676789586,156986,0.11814998257696803,195382,0.1470473793577336,223171,0.16796179125326163,1481658
11,Europe,Finland,5535992,36676,0.006625009573713257,45820,0.008276746064661944,58517,0.010570282616015341,78593,0.014196732943255698,87328,0.015774589269637672,92866,0.016774951986924837,96205,0.017378095922103935,107866,0.019484493474701554,128625,0.023234318257685342,142728,0.025781829164493012,159863,0.02887702872402995,189817,0.03428780243902087,1224904
12,Europe,France,64531444,2697014,0.04179379590514044,3260382,0.050523927529035305,3820418,0.05920242540985136,4755862,0.07369836633440281,5703499,0.08838325390642118,5738762,0.08892970068979085,5840067,0.09049955553450811,6210335,0.09623734748597908,6868151,0.10643107567839331,7111154,0.11019672828024737,7270410,0.11266461044944229,7829045,0.12132139798390379,67105099
13,Europe,Germany,83408555,1762504,0.02113097391508581,2232327,0.026763765419506428,2455569,0.029440253460811066,2866323,0.03436485621888546,3423900,0.04104974603624292,3692908,0.04427493079097222,3736959,0.04480306606438632,3778277,0.04529843491473986,3979839,0.047714997580284184,4249061,0.0509427480190731,4619273,0.05538128552880457,5999020,0.07192331769804668,42795960
